ticker,name,exchange,sector,industry,country,currency,source
INGRM.IS,INGRAM BILISIM,BIST,,,TR,TRY,borsa_istanbul
INTEM.IS,INTEMA,BIST,,,TR,TRY,borsa_istanbul
INVEO.IS,INVEO YATIRIM HOLDING,BIST,,,TR,TRY,borsa_istanbul
INVES.IS,INVESTCO HOLDING,BIST,,,TR,TRY,borsa_istanbul
ISCTR.IS,IS BANKASI (C),BIST,,,TR,TRY,borsa_istanbul
ISDMR.IS,ISKENDERUN DEMIR CELIK,BIST,,,TR,TRY,borsa_istanbul
ISFIN.IS,IS FIN.KIR.,BIST,,,TR,TRY,borsa_istanbul
ISGSY.IS,IS GIRISIM,BIST,,,TR,TRY,borsa_istanbul
ISGYO.IS,IS GMYO,BIST,,,TR,TRY,borsa_istanbul
ISKPL.IS,ISIK PLASTIK,BIST,,,TR,TRY,borsa_istanbul
ISMEN.IS,IS Y. MEN. DEG.,BIST,,,TR,TRY,borsa_istanbul
IZENR.IS,IZDEMIR ENERJI,BIST,,,TR,TRY,borsa_istanbul
IZFAS.IS,IZMIR FIRCA,BIST,,,TR,TRY,borsa_istanbul
IZMDC.IS,IZMIR DEMIR CELIK,BIST,,,TR,TRY,borsa_istanbul
JANTS.IS,JANTSA JANT SANAYI,BIST,,,TR,TRY,borsa_istanbul
KAPLM.IS,KAPLAMIN,BIST,,,TR,TRY,borsa_istanbul
KAREL.IS,KAREL ELEKTRONIK,BIST,,,TR,TRY,borsa_istanbul
KARSN.IS,KARSAN OTOMOTIV,BIST,,,TR,TRY,borsa_istanbul
KARTN.IS,KARTONSAN,BIST,,,TR,TRY,borsa_istanbul
KATMR.IS,KATMERCILER EKIPMAN,BIST,,,TR,TRY,borsa_istanbul
KAYSE.IS,KAYSERI SEKER FABRIKASI,BIST,,,TR,TRY,borsa_istanbul
KBORU.IS,KUZEY BORU,BIST,,,TR,TRY,borsa_istanbul
KCAER.IS,KOCAER CELIK,BIST,,,TR,TRY,borsa_istanbul
KCHOL.IS,KOC HOLDING,BIST,,,TR,TRY,borsa_istanbul
KFEIN.IS,KAFEIN YAZILIM,BIST,,,TR,TRY,borsa_istanbul
KGYO.IS,KORAY GMYO,BIST,,,TR,TRY,borsa_istanbul
KIMMR.IS,KIM MARKET-ERSAN ALISVERIS,BIST,,,TR,TRY,borsa_istanbul
KLGYO.IS,KILER GMYO,BIST,,,TR,TRY,borsa_istanbul
